id,title,genre,tags
1,The Matrix,Sci-Fi Action Thriller,computers artificial intelligence virtual reality cyberpunk martial arts dystopian
2,Inception,Sci-Fi Action Thriller,dreams mind bending heist subconscious christopher nolan leo dicaprio
3,Interstellar,Sci-Fi Drama Adventure,space time travel black hole wormhole love christopher nolan epic
4,The Dark Knight,Action Crime Drama,batman joker superhero christopher nolan gotham vigilante
5,Avengers: Endgame,Action Sci-Fi Superhero,marvel iron man captain america thanos time travel epic conclusion
6,Spirited Away,Animation Fantasy Adventure,studio ghibli hayao miyazaki magic spirits coming of age anime
7,Toy Story,Animation Family Comedy,pixar woody buzz toys friendship childhood classic
8,Finding Nemo,Animation Family Adventure,pixar ocean fish father son journey coral reef
9,The Godfather,Crime Drama Mafia,mafia mob boss family loyalty betrayal classic masterpiece
10,Pulp Fiction,Crime Drama Thriller,quentin tarantino non linear hitman mob Los Angeles dialogue
11,Fight Club,Drama Thriller Psychological,david fincher split personality underground anarchy anti capitalism
12,Forrest Gump,Drama Romance Comedy,tom hanks history journey love running destiny
13,The Shawshank Redemption,Drama Prison Classic,stephen king prison hope friendship escape injustice
14,Jurassic Park,Sci-Fi Adventure Thriller,dinosaurs dna island theme park survival steven spielberg
15,Titanic,Romance Drama Disaster,james cameron ship iceberg love tragedy epic leo dicaprio
16,Avatar,Sci-Fi Action Adventure,james cameron pandora aliens 3d visuals epic nature
17,Gladiator,Action Drama Historical,rome russell crowe revenge arena emperor epic
18,The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure Epic,magic elves hobbits ring journey sauron peter jackson
19,The Lord of the Rings: The Return of the King,Fantasy Adventure Epic,gondor battle magic frodo ring destruction climax
20,Star Wars: Episode IV - A New Hope,Sci-Fi Space Opera Adventure,jedi darth vader force luke skywalker death star rebellion
21,Star Wars: Episode V - The Empire Strikes Back,Sci-Fi Space Opera Adventure,jedi yoda darth vader light saber sequel
22,Harry Potter and the Sorcerer's Stone,Fantasy Family Adventure,magic hogwarts wizards witches children school
23,The Terminator,Sci-Fi Action Thriller,robots cyborg time travel arnold schwarzenegger survival
24,Terminator 2: Judgment Day,Sci-Fi Action Thriller,cyborg sequel time travel protection james cameron
25,Alien,Sci-Fi Horror Thriller,space monster xenomorph survival ship isolation
26,Aliens,Sci-Fi Action Horror,space marines xenomorph queen survival sequel
27,The Shining,Horror Thriller Psychological,stephen king stanley kubrick hotel madness ghosts isolation
28,Psycho,Horror Thriller Mystery,alfred hitchcock motel murder madness split personality
29,Silence of the Lambs,Crime Thriller Psychological,serial killer fbi cannibal anthony hopkins detective
30,Se7en,Crime Mystery Thriller,david fincher serial killer deadly sins detectives dark
31,Goodfellas,Crime Drama Mafia,martin scorsese mafia mobsters new york true story
32,The Wolf of Wall Street,Comedy Crime Drama,martin scorsese stock market money greed leo dicaprio true story
33,Catch Me If You Can,Biography Crime Drama,steven spielberg con artist fbi chase tom hanks leo dicaprio
34,Schindler's List,Biography Drama Historical,steven spielberg holocaust world war ii true story survival
35,Saving Private Ryan,Action Drama War,world war ii steven spielberg soldiers battle realistic
36,The Lion King,Animation Family Musical,disney africa animals king betrayal coming of age
37,Aladdin,Animation Family Musical,disney genie magic lamp princess desert romance
38,Beauty and the Beast,Animation Family Musical,disney classic romance curse castle
39,Up,Animation Family Adventure,pixar balloons house old man wilderness friendship
40,WALL-E,Animation Sci-Fi Romance,pixar robot future earth space environmental
41,Joker,Crime Drama Psychological,dc comics origin madness society joaquin phoenix
42,Spider-Man: Into the Spider-Verse,Animation Superhero Action,marvel multivere miles morales visual style awesome
43,Mad Max: Fury Road,Action Sci-Fi Post-Apocalyptic,desert wasteland cars chase tom hardy visual
44,Dune,Sci-Fi Adventure Epic,desert planet spice sandworms chosen one politics
45,Blade Runner 2049,Sci-Fi Mystery Thriller,cyberpunk replicants future visually stunning neo noir
46,The Martian,Sci-Fi Adventure Survival,mars space survival botany matt damon science
47,Gravity,Sci-Fi Thriller Drama,space orbit disaster survival visually stunning
48,Arrival,Sci-Fi Mystery Drama,aliens language communication time mind bending
49,Parasite,Thriller Drama Comedy,social class poverty wealth korea twist masterpiece
50,Whiplash,Drama Music Psychological,drums jazz perfection obsessive teacher intense
